,blacklisted,companyType,displayName,foundedYear,logo,parentCompany,stockTicker,stocksSummary,totalFunding,valuation
0,[],public,Samsung Electronics,1969,{'url': 'https://uploads3.craft.co/uploads/company/logo/2xx/259/normal_ifl99vx9hmbarhbyvquf.jpg'},,005930.KS,288620000000.0,0 USD,288620000000 USD
1,[],public,The Walt Disney Company,1923,{'url': 'https://uploads4.craft.co/uploads/company/logo/3xx/324/normal_25d77e0a880d3761.png'},,DIS,232972475400.0,0 USD,232972475400 USD
2,[],public,Macy's,1858,{'url': 'https://uploads1.craft.co/uploads/company/logo/19xx/1968/normal_d615f3d7972a5e6d.png'},,M,4605922650.0,0 USD,4605922650 USD
3,[],public,Etsy,2005,{'url': 'https://uploads5.craft.co/uploads/company/logo/8xx/830/normal_VGmQvBw8.png'},,ETSY,12265985846.0,97256128 USD,12265985846 USD
4,[],public,Tesco,1919,{'url': 'https://uploads4.craft.co/uploads/company/logo/347xx/34754/normal_42ab7954b70fb9d6.png'},,TSCO.L,14800000000.0,34600000 USD,
5,[],public,Ocado,2000,{'url': 'https://uploads3.craft.co/uploads/company/logo/19xx/1915/normal_65277ffe7d05e1a0.jpg'},,OCDO.L,1720000000.0,201322000 USD,
6,[],public,Gap,1969,{'url': 'https://uploads1.craft.co/uploads/company/logo/244xx/24415/normal_9ff338f916c8faa6.jpeg'},,GPS,6114070760.0,0 USD,6114070760 USD
7,[],public,Target,1962,{'url': 'https://uploads3.craft.co/uploads/company/logo/118xx/11811/normal_c0d92eb96fb85492.png'},,TGT,56386124440.0,0 USD,56386124440 USD
8,[],public,Starbucks,1971,{'url': 'https://uploads1.craft.co/uploads/company/logo/20xx/2039/normal_9808fc9f4b68e3de.jpg'},,SBUX,102762450000.0,900000000 USD,102762450000 USD
9,[],public,Amazon,1994,{'url': 'https://uploads3.craft.co/uploads/company/logo/119xx/11981/normal_1b78c896cc538c2f.png'},,AMZN,851792685440.0,108000000 USD,851792685440 USD
10,[],public,Reckitt Benckiser,1823,{'url': 'https://uploads2.craft.co/uploads/company/logo/20xx/2042/normal_709d528126ad401f.jpg'},,RB.L,47870000000.0,0 USD,
11,[],public,Costco,1983,{'url': 'https://uploads5.craft.co/uploads/company/logo/859xx/85925/normal_301c1b7e3381b9ea.png'},,COST,130524662500.0,0 USD,130524662500 USD
12,[],public,Walmart,1962,{'url': 'https://uploads3.craft.co/uploads/company/logo/119xx/11960/normal_25dead85d2e1d66e.jpeg'},,WMT,338270220400.0,0 USD,338270220400 USD
13,[],public,Kroger,1883,{'url': 'https://uploads4.craft.co/uploads/company/logo/111xx/11101/normal_c0b860e2f557fe39.png'},,KR,19663763130.0,0 USD,19663763130 USD
14,[],public,Marks & Spencer,1884,{'url': 'https://uploads1.craft.co/uploads/company/logo/19xx/1969/normal_bJO-Aj2A.jpeg'},,MKS.L,5580000000.0,0 USD,
15,[],public,Procter & Gamble,1837,{'url': 'https://uploads1.craft.co/uploads/company/logo/20xx/2068/normal_8ddff36d8abe88a8.png'},,PG,305270807400.0,0 USD,305270807400 USD
16,[],public,Wayfair,2002,{'url': 'https://uploads5.craft.co/uploads/company/logo/180xx/18081/normal_e74d1747cbe9e029.jpg'},,W,9662071374.0,358000000 USD,9662071374 USD
17,[],public,Sainsbury's,1869,{'url': 'https://uploads1.craft.co/uploads/company/logo/95xx/9525/normal_2984ee75d962a30e.png'},,SBRY.L,5300000000.0,0 USD,
18,[],public,Caseys General Stores,1959,{'url': 'https://uploads3.craft.co/uploads/company/logo/1528xx/152819/normal_90eac9df509c0c0a.png'},,CASY,5911763760.0,569000000 USD,5911763760 USD
19,[],public,Sysco,1969,{'url': 'https://uploads1.craft.co/uploads/company/logo/1220xx/122079/normal_4575cb163301ad29.jpg'},,SYY,40013347050.0,0 USD,40013347050 USD
20,[],public,Tiffany & Co.,1837,{'url': 'https://uploads2.craft.co/uploads/company/logo/19xx/1982/normal_TCO_TWITTERLOGO_130X130.jpg'},,TIF,10691919490.0,0 USD,10691919490 USD
21,[],public,Nike,1972,{'url': 'https://uploads1.craft.co/uploads/company/logo/19xx/1973/normal_49e8c85a3a06301e.png'},,NKE,144426495600.0,0 USD,144426495600 USD
22,[],public,3D Systems,1986,{'url': 'https://uploads2.craft.co/uploads/company/logo/18xx/1808/normal_bc8a6316cdab16dc.jpg'},,DDD,909770400.0,169500000 USD,909770400 USD
23,[],public,Cintas,1968,{'url': 'https://uploads2.craft.co/uploads/company/logo/125xx/12552/normal_msMzU4XZ.jpg'},,CTAS,27629252390.0,0 USD,27629252390 USD
24,[],public,Colgate Palmolive,1806,{'url': 'https://uploads2.craft.co/uploads/company/logo/20xx/2056/normal_dgZGn-DI.jpeg'},,CL,60600963780.0,0 USD,60600963780 USD
25,[],public,Coca-Cola European Partners,2016,{'url': 'https://uploads5.craft.co/uploads/company/logo/2493xx/249398/normal_883267dbd7eab468.png'},,CCEP,26091575610.0,0 USD,26091575610 USD
26,[],public,Clorox,1913,{'url': 'https://uploads5.craft.co/uploads/company/logo/20xx/2055/normal_91c25e2f8b9c708e.png'},,CLX,18837904340.0,0 USD,18837904340 USD
27,[],public,Burlington Stores,1972,{'url': 'https://uploads5.craft.co/uploads/company/logo/19xx/1957/normal_d10632dd8daf020e.jpg'},,BURL,12869828200.0,0 USD,12869828200 USD
28,[],public,Johnson & Johnson,1886,{'url': 'https://uploads1.craft.co/uploads/company/logo/20xx/2062/normal_197f912eec23d609.png'},,JNJ,341033547400.0,0 USD,341033547400 USD
29,[],public,Best Buy,1966,{'url': 'https://uploads2.craft.co/uploads/company/logo/149xx/14913/normal_20ff0c7e57d37cc9.jpg'},,BBY,17316746100.0,0 USD,17316746100 USD
30,[],public,Dollar General,1939,{'url': 'https://uploads5.craft.co/uploads/company/logo/890xx/89032/normal_64c9fbd57a3ce0ab.png'},{'displayName': 'KKR & Co. (Kohlberg Kravis Roberts & Co.)'},DG,41349387800.0,0 USD,41349387800 USD
31,[],public,Debenhams,1778,{'url': 'https://uploads5.craft.co/uploads/company/logo/80xx/8075/normal_78dc6f0945b92e48.jpg'},,DEB.L,536860000.0,0 USD,
32,[],public,Conn's,1890,{'url': 'https://uploads2.craft.co/uploads/company/logo/1915xx/191536/normal_jA6sK-2R.jpeg'},,CONN,727787612.0,0 USD,727787612 USD
33,[],public,Office Depot,1986,{'url': 'https://uploads3.craft.co/uploads/company/logo/879xx/87961/normal_c52337abcb7b5c07.jpg'},{'displayName': 'Staples'},ODP,956161500.0,0 USD,956161500 USD
34,[],public,British American Tobacco,1902,{'url': 'https://uploads2.craft.co/uploads/company/logo/828xx/82875/normal_twitter-avatar.png'},,BATS.L,96960000000.0,0 USD,
35,[],public,Big 5 Sporting Goods,1955,{'url': 'https://uploads2.craft.co/uploads/company/logo/1945xx/194534/normal_4730e7182fdc9b52.png'},,BGFV,50959750.0,0 USD,50959750 USD
36,[],public,TravelCenters of America,1972,{'url': 'https://uploads5.craft.co/uploads/company/logo/1189xx/118946/normal_6d529869360f1e77.png'},,TA,92272670.0,0 USD,92272670 USD
37,[],public,Big Lots,1967,{'url': 'https://uploads5.craft.co/uploads/company/logo/1981xx/198153/normal_SSxeS7cK.jpeg'},,BIG,811142640.0,0 USD,811142640 USD
38,[],public,Five Below,2002,{'url': 'https://uploads4.craft.co/uploads/company/logo/580xx/58014/normal_e15f676dbcd9c57f.jpg'},,FIVE,6882667880.0,194000000 USD,6882667880 USD
39,[],public,DICK’S Sporting Goods,1948,{'url': 'https://uploads3.craft.co/uploads/company/logo/1278xx/127859/normal_33d10751ee6ba147.png'},,DKS,3515732325.0,0 USD,3515732325 USD
40,[],public,The Goodyear Tire & Rubber Company,1898,{'url': 'https://uploads3.craft.co/uploads/company/logo/133xx/13310/normal_de6851c93cc979cf.jpg'},,GT,3136708290.0,0 USD,3136708290 USD
41,[],public,Sears Hometown and Outlet Stores,2012,{'url': 'https://uploads4.craft.co/uploads/company/logo/131xx/13143/normal_1c1c2ba4b05a3b1d.jpg'},,SHOS,80819120.0,0 USD,80819120 USD
42,[],public,Dollar Tree,1953,{'url': 'https://uploads2.craft.co/uploads/company/logo/1213xx/121360/normal_33a540500777eb5f.png'},,DLTR,26736258750.0,0 USD,26736258750 USD
43,[],public,Boohoo,2006,{'url': 'https://uploads5.craft.co/uploads/company/logo/1680xx/168090/normal_1006e89c03f4aa0d.jpg'},,BOO.L,2300000000.0,63621406 USD,
44,[],public,Kingfisher,1982,{'url': 'https://uploads1.craft.co/uploads/company/logo/83xx/8315/normal_43a2bd1bc4f512a9.jpg'},,KGF.L,6930000000.0,0 USD,
45,[],subsidiary,Essendant,1922,{'url': 'https://uploads1.craft.co/uploads/company/logo/2474xx/247447/normal_238fdd03fc854bfb.png'},{'displayName': 'Staples'},,481815450.0,0 USD,
46,[],public,Eastman Kodak Company,1892,{'url': 'https://uploads4.craft.co/uploads/company/logo/1171xx/117109/normal_ce6c5a33f5d52ad8.png'},,KODK,109848900.0,6000000 USD,109848900 USD
47,[],private,Bosch,1886,{'url': 'https://uploads5.craft.co/uploads/company/logo/374xx/37464/normal_6f70d3a4e0c72c60.jpg'},,,,0 USD,
48,[],public,Bed Bath & Beyond,1971,{'url': 'https://uploads2.craft.co/uploads/company/logo/1941xx/194176/normal_23a1328ecef950fa.png'},,BBBY,1258066040.0,0 USD,1258066040 USD
49,[],private,Arcadia, 1903,{'url': 'https://uploads1.craft.co/uploads/company/logo/2438xx/243802/normal_Arcadia-Graduate-Scheme.jpg'},,,,0 USD,
50,[],public,Whirlpool,1911,{'url': 'https://uploads5.craft.co/uploads/company/logo/405xx/40514/normal_c8a81854d7a06e2f.jpg'},,WHR,9915294160.0,19300000 USD,9915294160 USD
51,[],public,Murphy USA,1996,{'url': 'https://uploads4.craft.co/uploads/company/logo/114xx/11442/normal_47dd22f563997a22.png'},,MUSA,2722245500.0,0 USD,2722245500 USD
