displayName,date,description,name,value,tags,major_tags,stocksSummary,valuation,competitors_groups
1908 Brands,6/3/16,"Offer the highest quality, best tasting cooking hot sauces & seasoning on the market.",Schultz's Gourmet,,"['brand creation', 'consumer goods', 'Manufacturing & Industrial', 'Marketing', 'cleantech', 'bcorp']","['Manufacturing & Industrial', 'Marketing']",67270000,,346
A.O. Smith,9/5/17,,Hague,,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'water', 'engineering', 'hvac']",['Manufacturing & Industrial'],6289391000,6289391000 USD,699
Amazon,3/12/15,IoT Cloud Platform,2lemetry,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,8/1/08,"AbeBooks, an Amazon subsidiary, is an online marketplace for new, used, rare and out-of-print books from thousands of sellers.",AbeBooks,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,6/11/99,,Accept.Com,101700000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,9/20/18,Aditya Birla Fashion & Retail Ltd India's largest Apparel & Lifestyle Store offers latest Fashion & Lifestyle products for Men & Women. Get all your favourite brands here!,Aditya Birla Retail Limited,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,1/5/99,"Alexa, a subsidiary of Amazon, is a web information company that offers website information and analytics.",Alexa,250000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,4/10/15,Amiato provides real-time analytics services to enable companies to make sense of data by unlocking silos and future-proofing.,Amiato,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,9/22/10,"Amie Street is a web-based social music store that enables members to discover, download and share music.",Amie Street,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,9/20/16,"Angel.ai, formerly GoButler, is a technology company that supports businesses in automating conversational commerce using NLP.",Angel.ai,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,1/22/15,"Annapurna Labs is an amazon company. We are inventing the next generation of cloud computing infrastructure, and the storage/networking industry as a whole.",Annapurna Labs,370000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,1/31/08,"Audible is an Internet provider of spoken audio entertainment, information and educational programming.",Audible,300000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,11/30/99,,Back To Basics Toys,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,11/23/16,Biba is a mobile-first business conferencing and messaging app that helps people get in touch instantly.,Biba,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,12/22/17,"Blink creates a Wi-Fi home security cameras that send motion-activated alerts and HD video to user's smartphone. 
",Blink Home Security,90000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,10/4/17,Body Labs is a technology company creating 3D body models to support various B2B software applications. ,Body Labs,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,10/15/98,,Bookpages,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,4/4/05,"BookSurge, a brand of On-Demand Publishing LLC, a subsidiary of Amazon.com Inc., is a pioneer in inventory-free book publishing, printing,",BookSurge,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
