,displayName,period_type,segmentCategory,segmentName,startDate,unitType,value
0,Samsung Electronics,fiscal_year,Business Segment,Display,1/1/16,currency,2.69286E+13
1,Samsung Electronics,fiscal_year,Business Segment,Consumer Electronics,1/1/16,currency,4.51028E+13
2,Samsung Electronics,fiscal_year,Business Segment,Information Technology & Mobile Communications,1/1/16,currency,1.00302E+14
3,Samsung Electronics,fiscal_year,Business Segment,Semiconductor,1/1/16,currency,5.1157E+13
4,Samsung Electronics,fiscal_year,Geographic Segment,Korea,1/1/16,currency,2.02018E+13
5,Samsung Electronics,fiscal_year,Geographic Segment,America,1/1/16,currency,6.87286E+13
6,Samsung Electronics,fiscal_year,Geographic Segment,Europe,1/1/16,currency,3.82532E+13
7,Samsung Electronics,fiscal_year,Geographic Segment,Asia and Africa,1/1/16,currency,3.91E+13
8,Samsung Electronics,fiscal_year,Geographic Segment,China,1/1/16,currency,3.55832E+13
9,Samsung Electronics,fiscal_year,Business Segment,Display,1/1/15,currency,2.74869E+13
10,Samsung Electronics,fiscal_year,Business Segment,Consumer Electronics,1/1/15,currency,4.68954E+13
11,Samsung Electronics,fiscal_year,Business Segment,Information Technology & Mobile Communications,1/1/15,currency,1.03554E+14
12,Samsung Electronics,fiscal_year,Business Segment,Semiconductor,1/1/15,currency,4.75868E+13
13,Samsung Electronics,fiscal_year,Geographic Segment,Korea,1/1/15,currency,2.08278E+13
14,Samsung Electronics,fiscal_year,Geographic Segment,America,1/1/15,currency,6.89444E+13
15,Samsung Electronics,fiscal_year,Geographic Segment,Europe,1/1/15,currency,3.86294E+13
16,Samsung Electronics,fiscal_year,Geographic Segment,Asia and Africa,1/1/15,currency,4.12655E+13
17,Samsung Electronics,fiscal_year,Geographic Segment,China,1/1/15,currency,3.09863E+13
18,Samsung Electronics,fiscal_year,Business Segment,Consumer Electronics,1/1/17,currency,4.46013E+13
19,Samsung Electronics,fiscal_year,Business Segment,Information Technology & Mobile Communications,1/1/17,currency,1.06668E+14
20,Samsung Electronics,fiscal_year,Business Segment,Harman,1/1/17,currency,7.10263E+12
21,Samsung Electronics,fiscal_year,Business Segment,Display,1/1/17,currency,3.44654E+13
22,Samsung Electronics,fiscal_year,Business Segment,Semiconductor,1/1/17,currency,7.42556E+13
23,Samsung Electronics,fiscal_year,Geographic Segment,Korea,1/1/17,currency,3.15452E+13
24,Samsung Electronics,fiscal_year,Geographic Segment,America,1/1/17,currency,8.10196E+13
25,Samsung Electronics,fiscal_year,Geographic Segment,Europe,1/1/17,currency,4.44189E+13
26,Samsung Electronics,fiscal_year,Geographic Segment,Asia and Africa,1/1/17,currency,4.4248E+13
27,Samsung Electronics,fiscal_year,Geographic Segment,China,1/1/17,currency,3.83437E+13
28,Samsung Electronics,fiscal_year,Geographic Segment,China,1/1/18,currency,4.32069E+13
29,Samsung Electronics,fiscal_year,Business Segment,Information Technology & Mobile Communications,1/1/18,currency,1.00678E+14
30,Samsung Electronics,fiscal_year,Business Segment,Harman,1/1/18,currency,8.84374E+12
31,Samsung Electronics,fiscal_year,Business Segment,Consumer Electronics,1/1/18,currency,4.21074E+13
32,Samsung Electronics,fiscal_year,Geographic Segment,Korea,1/1/18,currency,3.39233E+13
33,Samsung Electronics,fiscal_year,Geographic Segment,America,1/1/18,currency,8.16887E+13
34,Samsung Electronics,fiscal_year,Geographic Segment,Europe,1/1/18,currency,4.2959E+13
35,Samsung Electronics,fiscal_year,Geographic Segment,Asia and Africa,1/1/18,currency,4.19934E+13
36,Samsung Electronics,fiscal_year,Business Segment,Display,1/1/18,currency,3.2465E+13
37,Samsung Electronics,fiscal_year,Business Segment,Semiconductor,1/1/18,currency,8.6291E+13
38,The Walt Disney Company,fiscal_year,Business Segment,Media Networks,11/1/15,currency,23689000000
39,The Walt Disney Company,fiscal_year,Business Segment,Parks and Resorts,11/1/15,currency,16974000000
40,The Walt Disney Company,fiscal_year,Business Segment,Studio Entertainment,11/1/15,currency,9441000000
41,The Walt Disney Company,fiscal_year,Business Segment,Consumer Products & Interactive Media,11/1/15,currency,5528000000
42,The Walt Disney Company,fiscal_year,Business Segment,Media Networks,10/1/16,currency,23510000000
43,The Walt Disney Company,fiscal_year,Business Segment,Parks and Resorts,10/1/16,currency,18415000000
44,The Walt Disney Company,fiscal_year,Business Segment,Studio Entertainment,10/1/16,currency,8379000000
45,The Walt Disney Company,fiscal_year,Business Segment,Consumer Products & Interactive Media,10/1/16,currency,4833000000
46,The Walt Disney Company,fiscal_year,Business Segment,Media Networks,10/1/17,currency,24500000000
47,The Walt Disney Company,fiscal_year,Business Segment,Parks and Resorts,10/1/17,currency,20296000000
48,The Walt Disney Company,fiscal_year,Business Segment,Studio Entertainment,10/1/17,currency,9987000000
49,The Walt Disney Company,fiscal_year,Business Segment,Consumer Products & Interactive Media,10/1/17,currency,4651000000
50,Macy's,fiscal_year,Business Segment,Home/Miscellaneous ,2/1/16,percentage,4124480000
51,Macy's,fiscal_year,Business Segment,Women’s Apparel,2/1/16,percentage,5928940000
52,Macy's,fiscal_year,Business Segment,"Women’s Accessories, Intimate Apparel, Shoes, Cosmetics and Fragrances ",2/1/16,percentage,9795640000
53,Macy's,fiscal_year,Business Segment,Men’s and Children’s ,2/1/16,percentage,5928940000
54,Macy's,fiscal_year,Business Segment,Home/Miscellaneous ,3/1/17,percentage,3973920000
55,Macy's,fiscal_year,Business Segment,Women’s Apparel,3/1/17,percentage,5712510000
56,Macy's,fiscal_year,Business Segment,"Women’s Accessories, Intimate Apparel, Shoes, Cosmetics and Fragrances ",3/1/17,percentage,9438060000
57,Macy's,fiscal_year,Business Segment,Men’s and Children’s ,3/1/17,percentage,5712510000
58,Macy's,fiscal_year,Business Segment,Home/Miscellaneous ,3/1/18,percentage,4084000000
59,Macy's,fiscal_year,Business Segment,Women’s Apparel,3/1/18,percentage,5675000000
60,Macy's,fiscal_year,Business Segment,"Women’s Accessories, Intimate Apparel, Shoes, Cosmetics and Fragrances ",3/1/18,percentage,9500000000
61,Macy's,fiscal_year,Business Segment,Men’s and Children’s ,3/1/18,percentage,5712000000
62,Etsy,fiscal_year,Geographic Segment,United States,1/1/15,currency,213389000
63,Etsy,fiscal_year,Geographic Segment,International,1/1/15,currency,60110000
64,Etsy,fiscal_year,Geographic Segment,United States,1/1/16,currency,276537000
65,Etsy,fiscal_year,Geographic Segment,International,1/1/16,currency,88430000
66,Tesco,fiscal_year,Business Segment,UK & ROI,3/1/15,currency,43248000000
67,Tesco,fiscal_year,Business Segment,International,3/1/15,currency,10084000000
68,Tesco,fiscal_year,Business Segment,Tesco Bank,3/1/15,currency,1012000000
69,Tesco,fiscal_year,Business Segment,Foreign exchange,3/1/15,currency,1573000000
70,Tesco,fiscal_year,Business Segment,UK & ROI,3/1/14,currency,43256000000
71,Tesco,fiscal_year,Business Segment,International,3/1/14,currency,11066000000
72,Tesco,fiscal_year,Business Segment,Tesco Bank,3/1/14,currency,955000000
73,Tesco,fiscal_year,Business Segment,UK & ROI,3/1/16,currency,43248000000
74,Tesco,fiscal_year,Business Segment,International,3/1/16,currency,10084000000
75,Tesco,fiscal_year,Business Segment,Tesco Bank,3/1/16,currency,1012000000
76,Tesco,fiscal_year,Business Segment,Foreign exchange,3/1/16,currency,1573000000
77,Tesco,fiscal_year,Business Segment,UK & ROI,3/1/17,currency,44775000000
78,Tesco,fiscal_year,Business Segment,International,3/1/17,currency,10801000000
79,Tesco,fiscal_year,Business Segment,Tesco Bank,3/1/17,currency,1051000000
80,Tesco,fiscal_year,Business Segment,Foreign exchange,3/1/17,currency,864000000
81,Ocado,fiscal_year,Business Segment,Retail,12/1/15,currency,1171600000
82,Ocado,fiscal_year,Business Segment,Solutions,12/1/15,currency,99400000
83,Ocado,fiscal_year,Business Segment,Retail,1/1/17,currency,1346100000
84,Ocado,fiscal_year,Business Segment,Solutions,1/1/17,currency,117700000
85,Gap,fiscal_year,Business Segment,Gap Global,2/1/16,currency,5455000000
86,Gap,fiscal_year,Business Segment,Old Navy Global,2/1/16,currency,6814000000
87,Gap,fiscal_year,Business Segment,Banana Republic Global,2/1/16,currency,2471000000
88,Gap,fiscal_year,Business Segment,Other,2/1/16,currency,776000000
89,Gap,fiscal_year,Geographic Segment,Other regions,2/1/16,currency,210000000
90,Gap,fiscal_year,Geographic Segment,Asia ,2/1/16,currency,1544000000
91,Gap,fiscal_year,Geographic Segment,Europe,2/1/16,currency,689000000
92,Gap,fiscal_year,Geographic Segment,Canada ,2/1/16,currency,1084000000
93,Gap,fiscal_year,Geographic Segment,United States ,2/1/16,currency,11989000000
94,Gap,fiscal_year,Business Segment,Gap Global,3/1/17,currency,5318000000
95,Gap,fiscal_year,Business Segment,Old Navy Global,3/1/17,currency,7238000000
