,Unnamed: 0,date,description,displayName,id,name,value
0,0,,,Puma,1361314,Austria PUMA Dassler Ges. m.b.H.,
1,1,,,Puma,1361316,Dobotex Austria GmbH,
2,2,,,Puma,1361318,Wilderness Holdings Ltd.,
3,3,,,Puma,1361320,PUMA Sport Hrvatska d.o.o.,
19,19,,,Puma,1361352,Branded Sports Merchandising UK Ltd.,
20,20,,,Puma,1361354,Genesis Group International Ltd.,
21,21,,,Puma,1361356,Admiral Teamsports Ltd.,
22,22,,,Puma,1361358,"Sport Equipment Hellas S. A. of Footwear,Apparel and Sportswear u.Li.",
23,23,,,Puma,1361360,Apparel and Sportswear u.Li.,
32,32,,,Puma,1361378,Brand Plus Licensing B.V.,
35,35,,,Puma,1361384,Dobo Logic B.V.,
40,40,,,Puma,1361389,PUMA-RUS o.o.o.,
46,46,,,Puma,1361395,Nrotert AB,
50,50,,,Puma,1361399,Mount PUMA AG (Schweiz),
57,57,,,Puma,1361406,Unisol S.A.,
63,63,,,Puma,1361412,Servicios Profesionales RDS,
64,64,,,Puma,1361413,Importaciones RDS,
66,66,,,Puma,1361415,Importationes Brand Plus Licensing,
67,67,,,Puma,1361416,Distribuidora Deportiva PUMA S.A.C.,
73,73,,,Puma,1044356,Cobra Golf Incorporated,
76,76,,,Puma,1361424,Janed,
81,81,,,Puma,1361429,White Diamond Australia Pty. Ltd.,
83,83,,,Puma,1361433,Kalola Pty. Ltd.,
84,84,,,Puma,1361435,Liberty China Holding Ltd.,
87,87,,,Puma,1361441,Guangzhou World Cat Information Consulting Services Company Ltd.,
88,88,,,Puma,1361443,World Cat Ltd.,
89,89,,,Puma,1361445,Development Services Ltd.,
97,97,,,Puma,1361461,PT PUMA Cat Indonesia Ltd.,
103,103,,,Puma,1361473,PUMANILA IT Services Inc.,
109,109,2018-02-08,Bras N Things is a women's apparel and accessories company offering its products through its retail network.,Hanesbrands,283137,Bras N Things,400000000 USD
110,110,,,Bonmarche,1361620,Bluebird UK Topco Limited,
112,112,,,Bonmarche,841822,Bonmarché Limited,
113,113,,,Revolve,1385367,Twist Holdings,
114,114,,,Revolve,1385369,Advance Development,
115,115,,,Revolve,1385370,Forward by Elyse Walker,
116,116,,,Revolve,1385372,RVLV UK Limited,
117,117,,,Revolve,1385368,Eminent,
118,118,,,Revolve,1385371,Alliance Apparel Group,
119,119,2013-06-25,Go Try it On is a smartphone app that allows users toshare fashion-related content and create a shopping list of products.,Rent the Runway,47557,Go Try It On,
120,120,2017-02-23,"Skip Hop creates unique, innovative, and highly functional products designed to make parenting easier, better, and more fun.",Carter's,51194,Skip Hop,140000000 USD
121,121,,,LPP,1382039,LPP Retail Sp. z o.o. Gda_sk,
122,122,,,LPP,1382040,DP&SL Sp. z o.o. Gda_sk,
123,123,,,LPP,1382041,IL&DL Sp. z o.o. Gda_sk,
124,124,,,LPP,1382042,AMUR Sp. z o.o. Gda_sk,
131,131,,,LPP,1382049,RE Trading OOO Moscow,
136,136,,,LPP,1382054,Gothals LTD Nicosia,
139,139,,,LPP,1382057,IPMS Management Services FZE Ras Al Khaimah,
141,141,,,LPP,1382059,LLC Re Development Moscow,
144,144,,,LPP,1382062,P&L Marketing and Advertising Agency SA,
145,145,2014-05-16,"LitRes is an ebook store offering products for PCs, and iOS, Android, and Windows devices.",OZON.ru,142081,LitRes,
146,146,2012-02-15,"Sapato.ru is a Russian-based e-commerce platform offering various brands of shoes, bags, gloves and shoe care products.",OZON.ru,72319,Sapato.ru,
147,147,2016-11-02,RedMart is a Singapore-based online supermarket that home-delivers groceries and essentials.,Lazada,83118,RedMart,
148,148,,,UNIQLO,1359926,PT. FAST RETAILING INDONESIA,
149,149,,,UNIQLO,1359921,FAST RETAILING (CHINA) TRADING CO.,
150,150,,,UNIQLO,1359922,FRL Korea Co,
151,151,,,UNIQLO,1359923,LLC UNIQLO (RUS),
152,152,,,UNIQLO,1359919,UNIQLO CO,
158,158,,,House of Fraser,1351270,House of Fraser (UK 8. Ireland) Acquisitions Ltd,
162,162,,,House of Fraser,1351282,James Beanie Ltd,
166,166,,,House of Fraser,1351297,HoF Property Investment Holdings Ltd,
167,167,,,House of Fraser,1351299,Beatties Limited,
168,168,,,House of Fraser,1351301,Criminal Clothing Limited,
169,169,,,House of Fraser,1351303,Dickins & Jones Limited,
170,170,,,House of Fraser,1351305,Tec7 Limited,
173,173,,,House of Fraser,1351312,BL Fraser Limited,
174,174,,,House of Fraser,1351314,Biba Retail Limited,
178,178,,,House of Fraser,1351322,"Jenners, Princes Street, Edinburgh Limited",
179,179,,,House of Fraser,1351324,Irish Branch of House of Fraser (Stores) Limited,
182,182,2016-07-26,"Jabong.com is India's favourite fashion multi-brand e-store and caters to the fashion aspirations of modern India. With more than 1500 on-trend international high-street brands, sports labels to Indian ethnic and designer labels, there is everything and more for a consumer to choose from. The choice is huge. Read, over 150,000 styles. Besides collaborations with designers, international labels, Jabong.com also associates itself with major Bollywood blockbuster and brings in the new wave in fashion trends. Jabong.com offers innovative services like express delivery, 30-day return policy, open box delivery for prompt delivery and efficient service.",Myntra,884855,Jabong,70000000 USD
183,183,2013-04-04,,Myntra,1357469,Fitiquette,
184,184,2018-08-01,,Myntra,1360841,Pretr Online Services Pvt. Ltd.,
185,185,2018-04-16,,Myntra,1360842,Withdraw,
186,186,2017-11-29,Fashion & Lifestyle Ecommerce Platform,Myntra,90355,20Dresses,
187,187,2017-04-19,,Myntra,1360843,InLogg,
188,188,2016-07-20,,Myntra,694148,HRX,
189,189,2016-07-12,,Myntra,1360844,Cubeit,
190,190,2012-11-09,,Myntra,1360845,Exclusively,
191,191,2014-09-15,mytheresa.com is a European luxury online retailer that stands for the finest edit of over 200 international designer brands’ collections.,Neiman Marcus Group,44728,mytheresa.com,150000000 EUR
192,192,2016-09-02,,Voonik,267206,Dekkoh,
193,193,2015-08-26,,Voonik,267208,Trialkart,
