index,displayName,displayName_parent,id
0,LG,Samsung Electronics,260
1,Apple,Samsung Electronics,280
2,Sony,Samsung Electronics,325
3,GoPro,Samsung Electronics,1826
4,HTC,Samsung Electronics,17154
5,Electrolux,Samsung Electronics,20432
6,CBS,The Walt Disney Company,224
7,Comcast,The Walt Disney Company,255
8,Warner Media,The Walt Disney Company,320
9,Viacom,The Walt Disney Company,323
10,Sony,The Walt Disney Company,325
11,Twenty-First Century Fox,The Walt Disney Company,2092
12,J.C. Penney,Macy's,1963
13,Marks & Spencer,Macy's,1969
14,Nordstrom,Macy's,1974
15,Stage Stores,Macy's,11707
16,Target,Macy's,11811
17,RadioShack,Macy's,20501
18,eBay,Etsy,14820
19,thredUP,Etsy,1598
20,Reshopper,Etsy,256646
21,usell.com,Etsy,257213
22,Instacart,Tesco,366
23,Marks & Spencer,Tesco,1969
24,Sainsbury's,Tesco,9525
25,Safeway,Tesco,20962
26,Carrefour,Tesco,31219
27,Giant Eagle,Tesco,136118
28,Instacart,Ocado,366
29,Cranswick,Ocado,7966
30,Morrisons,Ocado,9342
31,John Lewis,Ocado,226658
32,Macy's,Gap,1968
33,Nordstrom,Gap,1974
34,PVH,Gap,11364
35,American Eagle Outfitters,Gap,116411
36,Fast Retailing,Gap,117002
37,UNIQLO,Gap,117739
38,Macy's,Target,1968
39,Kroger,Target,11101
40,Walmart,Target,11960
41,Amazon,Target,11981
42,Best Buy,Target,14913
43,Alibaba,Target,14986
44,McDonald's,Starbucks,2035
45,Whitbread,Starbucks,9815
46,Dunkin' Donuts,Starbucks,24209
47,Subway,Starbucks,201196
48,Costa Coffee,Starbucks,483328
49,Kroger,Amazon,11101
50,Target,Amazon,11811
51,Walmart,Amazon,11960
52,eBay,Amazon,14820
53,Best Buy,Amazon,14913
54,Alibaba,Amazon,14986
55,Unilever,Reckitt Benckiser,2040
56,Johnson & Johnson,Reckitt Benckiser,2062
57,Procter & Gamble,Reckitt Benckiser,2068
58,Mcbride,Reckitt Benckiser,8559
59,Henkel,Reckitt Benckiser,27357
60,The Nature's Bounty,Reckitt Benckiser,251310
61,The Home Depot,Costco,11091
62,Kroger,Costco,11101
63,Target,Costco,11811
64,Walmart,Costco,11960
65,Amazon,Costco,11981
66,Best Buy,Costco,14913
67,Kroger,Walmart,11101
68,Target,Walmart,11811
69,Amazon,Walmart,11981
70,Costco,Walmart,85925
71,Lowe's,Walmart,233721
72,Target,Kroger,11811
73,Walmart,Kroger,11960
74,Costco,Kroger,85925
75,Publix,Kroger,116957
76,Sprouts Farmers Markets,Kroger,146391
77,Albertsons,Kroger,254386
78,Macy's,Marks & Spencer,1968
79,Next,Marks & Spencer,1972
80,Debenhams,Marks & Spencer,8075
81,Tesco,Marks & Spencer,34754
82,Asda,Marks & Spencer,135561
83,Aldi UK,Marks & Spencer,256324
84,Kimberly-Clark,Procter & Gamble,1833
85,Newell Brands,Procter & Gamble,1836
86,Unilever,Procter & Gamble,2040
87,Reckitt Benckiser,Procter & Gamble,2042
88,Clorox,Procter & Gamble,2055
89,Colgate Palmolive,Procter & Gamble,2056
90,Macy's,Wayfair,1968
91,Havertys,Wayfair,10865
92,The Home Depot,Wayfair,11091
93,Ikea,Wayfair,27188
94,Williams-Sonoma,Wayfair,83874
95,Bob's Discount Furniture,Wayfair,507305
96,Associated British Foods,Sainsbury's,2018
97,Morrisons,Sainsbury's,9342
98,Tesco,Sainsbury's,34754
99,Aldi UK,Sainsbury's,256324
100,Camping World,Caseys General Stores,984507
101,Discount Coffee.com,Caseys General Stores,1134961
102,Hindustan Unilever,Caseys General Stores,114285
103,Japan Tobacco,Caseys General Stores,169127
104,Jeronimo Martins,Sysco,6129
