displayName,date,description,name,value,tags,major_tags,stocksSummary,valuation,competitors_groups
1908 Brands,2016-06-03,"Offer the highest quality, best tasting cooking hot sauces & seasoning on the market.",Schultz's Gourmet,,"['brand creation', 'consumer goods', 'Manufacturing & Industrial', 'Marketing', 'cleantech', 'bcorp']","['Manufacturing & Industrial', 'Marketing']",,,346
3D Systems,,,3D Canada Company,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,"AMT provides management and IT services with its focus on management consulting, IT consulting, IT technology, and service outsourcing.",AMT,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Beijing Suntop Technology Co.,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,botObjects Ltd,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Cimatron Ltd.,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Gentle Giant Studios,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Geomagic (Shanghai) Software Co.,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Korea Cimatron Technologies,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,LayerWise NV,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Medical Modeling Inc.,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,NextDent B.V.,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,OptoForm LLC,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,"Founded in 2000, Phenix Systems designs, manufactures and markets powder bed additive manufacturing equipments.",Phenix Systems,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Product Development Group LLC,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,"Quickparts.com, Inc. provides custom manufacturing services to produce plastic and metal parts from three dimensional computer-aided design",Quickparts.com,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Rapidform,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Rapid Prototyping SA,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Robtec Ltda,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Shanghai Forever Technology & Development Co.,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Simbionix Ltd.,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
3D Systems,,,Sint-Tech,,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']",909770400.0,909770400 USD,78
