,amount,date,displayName,name,sharePrice,sharesIssued,stage,totalSharesOutstanding
0,6666666.833333333 USD,5/1/12,Etsy,Index Ventures,,,Series F,
1,6666666.833333333 USD,5/1/12,Etsy,Union Square Ventures,,,Series F,
2,6666666.833333333 USD,5/1/12,Etsy,Accel Partners,,,Series F,
3,6666666.833333333 USD,5/1/12,Etsy,Glynn Capital Management,,,Series F,
4,6666666.833333333 USD,5/1/12,Etsy,Breyer Capital,,,Series F,
5,6666666.833333333 USD,5/1/12,Etsy,Employee Stock Option Fund (ESO Fund),,,Series F,
6,20000000.0 USD,8/1/10,Etsy,Accel Partners,,,Series E,
7,27000000.0 USD,1/1/08,Etsy,Accel Partners,,,Series D,
8,3250000.0 USD,7/1/07,Etsy,Union Square Ventures,,,Series C,
9,,1/1/07,Etsy,Union Square Ventures,,,Series B,
10,200000.0 USD,11/1/06,Etsy,Union Square Ventures,,,Series A,
11,200000.0 USD,11/1/06,Etsy,Caterina Fake,,,Series A,
12,200000.0 USD,11/1/06,Etsy,Albert Wenger,,,Series A,
13,200000.0 USD,11/1/06,Etsy,Joshua Schachter,,,Series A,
14,200000.0 USD,11/1/06,Etsy,Stewart Butterfield,,,Series A,
15,200000.0 USD,6/30/05,Etsy,Sean Meenan,,,Seed,
16,200000.0 USD,6/30/05,Etsy,Spencer Ain,,,Seed,
17,,12/1/07,Target,Pershing Square Capital Management,,,Unattributed,
18,900000000.0 USD,10/10/18,Starbucks,Pershing Square Capital Management,,,Unattributed,
19,,2/1/91,Starbucks,Upfront Ventures,,,Unattributed,
20,100000000.0 USD,7/24/01,Amazon,AOL,,,Unattributed,
21,8000000.0 USD,7/1/95,Amazon,Kleiner Perkins,,,Series A,
22,,8/14/19,Walmart,Accel Partners,,,Historical,
23,157000000.0 USD,3/7/14,Wayfair,T. Rowe Price,,,Series B,
24,9000000.0 USD,12/10/12,Wayfair,Battery Ventures,,,Unattributed,
25,9000000.0 USD,12/10/12,Wayfair,Spark Capital,,,Unattributed,
26,9000000.0 USD,12/10/12,Wayfair,Great Hill Partners,,,Unattributed,
27,9000000.0 USD,12/10/12,Wayfair,HarbourVest Partners,,,Unattributed,
28,41250000.0 USD,6/21/11,Wayfair,Battery Ventures,,,Series A,
29,41250000.0 USD,6/21/11,Wayfair,Spark Capital,,,Series A,
30,41250000.0 USD,6/21/11,Wayfair,Great Hill Partners,,,Series A,
31,41250000.0 USD,6/21/11,Wayfair,HarbourVest Partners,,,Series A,
32,150000000.0 USD,10/13/14,3D Systems,PNC Bank,,,Unattributed,
33,194000000.0 USD,10/21/10,Five Below,Advent International,,,Private Equity,
34,,4/1/94,DICK’S Sporting Goods,Upfront Ventures,,,Unattributed,
35,,11/1/93,DICK’S Sporting Goods,Upfront Ventures,,,Unattributed,
36,19300000.0 USD,10/30/09,Whirlpool,US Department of Energy,,,Grant,
37,35000000.0 USD,6/5/09,Sleep Number,Norwest Equity Partners (NEP),,,Historical,
38,,11/15/99,Staples,Greylock Partners,,,Historical,
39,,11/15/99,Staples,Bessemer Venture Partners,,,Historical,
40,,11/15/99,Staples,Highland Capital Partners,,,Historical,
41,,11/15/99,Staples,Summit Partners,,,Historical,
42,,11/15/99,Staples,General Atlantic,,,Historical,
43,,11/15/99,Staples,Essex Investment Management,,,Historical,
44,300000000.0 USD,8/1/19,Wish,General Atlantic,,,Series H,
45,250000000.0 USD,9/20/17,Wish,Manhattan Venture Partners,,,Series G,
46,68999958.0 USD,10/6/14,Wish,DST Global,25.0021,2759766.5,Series D,24294447
47,68999958.0 USD,10/6/14,Wish,DHVC (Danhua Capital),25.0021,2759766.5,Series D,24294447
48,8333327.833333333 USD,6/27/14,Wish,GGV Capital,6.2766,1327681.833,Series C,7024476.833
49,8333327.833333333 USD,6/27/14,Wish,Founders Fund,6.2766,1327681.833,Series C,7024476.833
50,8333327.833333333 USD,6/27/14,Wish,Formation 8,6.2766,1327681.833,Series C,7024476.833
51,8333327.833333333 USD,6/27/14,Wish,AME Cloud Ventures,6.2766,1327681.833,Series C,7024476.833
52,8333327.833333333 USD,6/27/14,Wish,Legend Capital,6.2766,1327681.833,Series C,7024476.833
53,8333327.833333333 USD,6/27/14,Wish,Cherubic Ventures,6.2766,1327681.833,Series C,7024476.833
54,6797044.5 USD,4/24/14,Wish,GGV Capital,3.95,1720770.75,Series B,8326099
55,6797044.5 USD,4/24/14,Wish,Formation 8,3.95,1720770.75,Series B,8326099
