,displayName,tags,major_tags
0,Samsung Electronics,"['conglomerates', 'consumer goods', 'electronics', 'artificial intelligence', 'Manufacturing & Industrial', 'consumer electronics', 'medical devices', 'machine learning', 'art', 'telecommunications', 'imaging', 'Technology', 'medical imaging', 'internet of things']","['Manufacturing & Industrial', 'Technology']"
1,The Walt Disney Company,"['media', 'consumer goods', 'magazine', 'hotels', 'resorts', 'video content', 'Media & Entertainment', 'golf', 'music', 'television', 'video', 'hotel', 'publishing']",['Media & Entertainment']
2,Macy's,"['consumer goods', 'ecommerce', 'clothing', 'art', 'Retail', 'department stores', 'fashion', 'mobile app', 'footwear', 'furniture']",['Retail']
3,Etsy,"['consumer goods', 'ecommerce', 'Retail', 'used goods', 'marketplace']",['Retail']
4,Tesco,"['groceries', 'consumer goods', 'telecommunications', 'insurance', 'Financial Services', 'supermarkets', 'Retail']","['Financial Services', 'Retail']"
5,Ocado,"['Food & Beverage', 'groceries', 'consumer goods', 'health & beauty', 'delivery', 'pets', 'ecommerce', 'Retail']","['Food & Beverage', 'Retail']"
6,Gap,"['consumer goods', 'sport', 'accessories', 'ecommerce', 'clothing', 'Retail', 'fashion', 'footwear']",['Retail']
7,Target,"['consumer goods', 'electronics', 'toys', 'ecommerce', 'clothing', 'art', 'Retail', 'department stores', 'furniture']",['Retail']
8,Starbucks,"['Food & Beverage', 'consumer goods', 'hospitality', 'restaurant', 'Retail']","['Food & Beverage', 'Retail']"
9,Amazon,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']"
10,Reckitt Benckiser,"['consumer goods', 'health & beauty', 'pharmacy', 'pharma', 'Healthcare', 'home care', 'Retail', 'nutrition']","['Healthcare', 'Retail']"
11,Costco,"['groceries', 'consumer goods', 'electronics', 'ecommerce', 'appliances', 'clothing', 'Retail']",['Retail']
12,Walmart,"['consumer goods', 'electronics', 'consumer products & services', 'ecommerce', 'art', 'supermarkets', 'Retail', 'department stores']",['Retail']
13,Kroger,"['Food & Beverage', 'groceries', 'consumer goods', 'jewellery', 'art', 'supermarkets', 'Retail', 'department stores']","['Food & Beverage', 'Retail']"
14,Marks & Spencer,"['groceries', 'consumer goods', 'health & beauty', 'luxury', 'home & garden', 'ecommerce', 'clothing', 'art', 'kids', 'Retail', 'department stores', 'footwear']",['Retail']
15,Procter & Gamble,"['consumer goods', 'Manufacturing & Industrial', 'health & beauty', 'consumer chemistry', 'Healthcare']","['Manufacturing & Industrial', 'Healthcare']"
16,Wayfair,"['consumer goods', 'home & garden', 'ecommerce', 'Retail', 'furniture']",['Retail']
17,Sainsbury's,"['groceries', 'consumer goods', 'Investment', 'mortgages', 'ecommerce', 'clothing', 'Financial Services', 'supermarkets', 'property management', 'Retail']","['Investment', 'Financial Services', 'Retail']"
18,Caseys General Stores,"['tobacco', 'Food & Beverage', 'consumer goods', 'health & beauty', 'beverages', 'Retail']","['Food & Beverage', 'Retail']"
19,Sysco,"['Food & Beverage', 'groceries', 'consumer goods', 'distribution', 'Retail', 'supply chain']","['Food & Beverage', 'Retail']"
20,Tiffany & Co.,"['consumer goods', 'accessories', 'luxury', 'watches', 'jewellery', 'Retail']",['Retail']
21,Nike,"['consumer goods', 'Manufacturing & Industrial', 'sport', 'clothing', 'Retail', 'footwear']","['Manufacturing & Industrial', 'Retail']"
22,3D Systems,"['printing', 'consumer goods', 'Manufacturing & Industrial', 'Technology', 'advanced materials', '3d printing']","['Manufacturing & Industrial', 'Technology']"
23,Cintas,"['consumer goods', 'Manufacturing & Industrial', 'Business Products & Services', 'compliance', 'facilities management', 'rental']","['Manufacturing & Industrial', 'Business Products & Services']"
24,Colgate Palmolive,"['consumer goods', 'Manufacturing & Industrial', 'health & beauty', 'dental', 'consumer chemistry', 'nutrition']",['Manufacturing & Industrial']
25,Coca-Cola European Partners,"['Food & Beverage', 'consumer goods', 'Manufacturing & Industrial']","['Food & Beverage', 'Manufacturing & Industrial']"
